time,air_temperature,relative_humidity,AT_F,RH,HI_F
2024-07-13 02:00:00,23.8176,99.274704,74.87168,99.274704,76.724754
2024-07-13 03:00:00,23.740934,99.725365,74.73368,99.725365,76.59413
2024-07-13 04:00:00,23.661566,99.637695,74.59082,99.637695,76.43287
2024-07-13 05:00:00,23.639832,99.69002,74.5517,99.69002,76.392296
2024-07-13 06:00:00,23.554039,99.58787,74.39727,99.58787,76.217636
2024-07-13 07:00:00,23.834633,99.06822,74.902336,99.06822,76.74878
2024-07-13 08:00:00,24.10388,98.6404,75.386986,98.6404,77.26179
2024-07-13 09:00:00,24.668179,96.745056,76.402725,96.745056,78.290016
2024-07-13 10:00:00,25.366135,94.130066,77.65904,94.130066,79.54906
2024-07-13 11:00:00,26.179064,90.09989,79.122314,90.09989,83.305016
2024-07-13 12:00:00,27.53609,84.9926,81.564964,84.9926,88.91299
2024-07-13 13:00:00,29.38638,75.69972,84.895485,75.69972,94.689476
2024-07-13 14:00:00,30.490196,69.2661,86.882355,69.2661,96.91653
2024-07-13 15:00:00,31.522533,63.794544,88.740555,63.794544,98.732956
2024-07-13 16:00:00,32.09852,58.37952,89.77733,58.37952,98.26724
2024-07-13 17:00:00,33.054943,54.81016,91.49889,54.81016,100.17754
2024-07-13 18:00:00,33.407234,53.645706,92.13302,53.645706,100.92882
2024-07-13 19:00:00,32.116627,57.442383,89.80993,57.442383,97.84303
2024-07-13 20:00:00,29.869963,66.20916,85.76593,66.20916,92.95692
2024-07-13 21:00:00,27.781305,76.37877,82.00635,76.37877,87.91224
2024-07-13 22:00:00,26.265444,86.46737,79.2778,86.46737,83.35492
2024-07-13 23:00:00,25.405216,90.084496,77.729385,90.084496,79.436295
2024-07-14 00:00:00,24.889236,91.80938,76.80063,91.80938,78.495735
2024-07-14 01:00:00,24.28476,93.60306,75.71257,93.60306,77.38317
2024-07-14 02:00:00,23.944477,95.284065,75.10006,95.284065,76.788414
2024-07-14 03:00:00,23.706116,96.076385,74.671005,96.076385,76.35369
